Best Fitness, Average Fitness, Worst Fitness
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
325.0, 325.0, 325.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
325.0, 325.0, 325.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
338.0, 338.0, 338.0
339.0, 338.005, 338.0
339.0, 338.015, 338.0
339.0, 338.025, 338.0
339.0, 338.065, 338.0
339.0, 338.11, 338.0
339.0, 338.2, 338.0
326.0, 325.35, 325.0
339.0, 338.63, 338.0
339.0, 338.845, 338.0
339.0, 338.985, 338.0
339.0, 339.0, 339.0
339.0, 339.0, 339.0
339.0, 339.0, 339.0
339.0, 339.0, 339.0
339.0, 339.0, 339.0
339.0, 339.0, 339.0
327.0, 326.015, 326.0
339.0, 339.0, 339.0
339.0, 339.0, 339.0
342.0, 339.06, 339.0
342.0, 339.09, 339.0
342.0, 339.135, 339.0
342.0, 339.255, 339.0
342.0, 339.42, 339.0
342.0, 339.84, 339.0
342.0, 340.32, 339.0
331.0, 329.6, 326.0
342.0, 341.7, 339.0
342.0, 341.925, 339.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
331.0, 331.0, 331.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
331.0, 331.0, 331.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
342.0, 342.0, 342.0
345.0, 342.015, 342.0
345.0, 342.03, 342.0
345.0, 342.06, 342.0
345.0, 342.135, 342.0
333.0, 331.19, 331.0
345.0, 342.54, 342.0
345.0, 342.975, 342.0
345.0, 343.68, 342.0
345.0, 344.4, 342.0
345.0, 344.91, 342.0
345.0, 345.0, 345.0
345.0, 345.0, 345.0
